cnpjPartido;recibo;cnpjDoador;data;valor;id;sigla
03653474000120; ;03653474000120;24-OCT-14;105000;2489;PSDB
03653474000120; ;03653474000120;24-OCT-14;60000;2490;PSDB
03653474000120; ;03653474000120;24-OCT-14;58000;2491;PSDB
03653474000120; ;03653474000120;17-OCT-14;156000;2492;PSDB
03653474000120; ;03653474000120;10-OCT-14;6100;2493;PSDB
03653474000120; ;03653474000120;07-OCT-14;3000;2494;PSDB
03653474000120; ;03653474000120;03-OCT-14;20000;2495;PSDB
03653474000120; ;03653474000120;02-OCT-14;400000;2496;PSDB
03653474000120; ;03653474000120;12-SEP-14;500000;2497;PSDB
03653474000120; ;03653474000120;10-JUL-14;70387.5;2498;PSDB
03653474000120; ;03653474000120;21-AUG-14;100000;2499;PSDB
03653474000120; ;03653474000120;19-AUG-14;25000;2500;PSDB
03653474000120; ;03653474000120;16-JUL-14;150000;2501;PSDB
03656899000193;0;03653474000120;21-OCT-14;100000;2502;PSDB
03656899000193;0;03653474000120;14-OCT-14;100000;2503;PSDB
03656899000193;662945000452014;03653474000120;14-JUL-14;500045;2504;PSDB
03656899000193;452014;03653474000120;04-AUG-14;500035;2505;PSDB
03656899000193;0;03653474000120;09-OCT-14;100000;2506;PSDB
03656899000193;0;03653474000120;04-SEP-14;200000;2507;PSDB
03656899000193;0;03653474000120;21-OCT-14;100000;2508;PSDB
03656899000193;0;03653474000120;19-SEP-14;100000;2509;PSDB
04511430000129;662945000452014;03653474000120;20-AUG-14;200000;2510;PSDB
04511430000129;662945000452014;03653474000120;22-SEP-14;35000;2511;PSDB
04511430000129;662945000452014;03653474000120;20-AUG-14;250000;2512;PSDB
04511430000129;662945000452014;03653474000120;24-SEP-14;500000;2513;PSDB
04511430000129;662945000452014;03653474000120;09-SEP-14;100000;2514;PSDB
04511430000129;662945000452014;03653474000120;02-OCT-14;600000;2515;PSDB
04511430000129;662945000452014;03653474000120;20-AUG-14;400000;2516;PSDB
04511430000129;662945000452014;03653474000120;08-SEP-14;100000;2517;PSDB
04511430000129;662945000452014;03653474000120;22-SEP-14;315000;2518;PSDB
