cnpj;setor;nome;ID
01257995000133;Fabricação de laticínios;GOIASMINAS INDUSTRIA DE LATICINIOS LTDA;151
01276763000122;Comércio varejista de combustíveis para veículos automotores;AUTO POSTO RAMALHO LTDA;152
01276917000186;Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências;UNIMED TRANSPORTE AEROMEDICA MG LTDA;153
01287588000845;Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida;DASS NORDESTE CALCADOS E ARTIGOS ESPORTIVOS S.A.;154
01314444000164;Agências de publicidade;NOAR COMUNICACOES LTDA - EPP;155
01317277000105;Atividades do Operador Portuário;ITAPOA TERMINAIS PORTUARIOS S/A;156
01338301000192;Serviços advocatícios;ADVOCACIA OPERARIA;157
01340937000179;Construção de rodovias e ferrovias;GALVAO ENGENHARIA S/A;158
01355296000126;Atividades de apoio à pecuária não especificadas anteriormente;AGROMON S/A AGRICULTURA E PECUARIA;159
01373328000116;Incorporação de empreendimentos imobiliários;GMS ENGENHARIA LTDA;160
01380468000111;Criação de bovinos para corte;ARCA S/A AGROPECUARIA;161
01382022000126;Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente;COMPASA DO BRASIL DISTRIBUIDORA DE DERIVADOS DE PETROLEO LTDA;162
01382055000176;Construção de edifícios;FAUSTO DE SOUZA ENGENHARIA LTDA;163
01386256000141;Holdings de instituições não-financeiras;VOTORANTIM FINANCAS S/A;164
01387400000164;Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, não realizado por transportador re;SP INDUSTRIA E DISTRIBUIDORA DE PETROLEO LTDA;165
01393074000106;Construção de edifícios;SANCO ENGENHARIA LTDA;166
01397753000145;Construção de rodovias e ferrovias;PAVISERVICE SERVICOS DE PAVIMENTACAO LTDA;167
01400204000182;Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica;ORGANIZER LTDA ADMINISTRACAO, PARTICIPACAO E CONSULTORIA - EPP;168
01403192000140;Comércio varejista especializado de equipamentos e suprimentos de informática;DE LORENZO DO BRASIL LTDA.;169
01409581000182;Planos de saúde;UNIMED FEDERACAO INTERFEDERATIVA DAS COOPERATIVAS MEDICAS DO CENTRO-OESTE E TOCANTINS;170
01415130000158;Serviços de engenharia;ALTA ENGENHARIA DE INFRAESTRUTURA LTDA;171
01421353000128;Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;DROGACIVICA PRODUTOS FARMACEUTICOS LTDA - EPP;172
01435328000284;Fabricação de laticínios;COOPERATIVA REGIONAL DE COMERCIALIZACAO DO EXTREMO OESTE;173
01437326000143;Atividades de vigilância e segurança privada;SERVI SEGURANCA E VIGILANCIA DE INSTALACOES LTDA;174
01457349000110;Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente;VITORIA MAR AUTOMOTIVA REPRESENTACOES LTDA;175
01464823000130;Incorporação de empreendimentos imobiliários;GRAN VIVER URBANISMO S/A;176
01466431000100;Outras atividades auxiliares dos transportes terrestres não especificadas anteriormente;GCT - GERENCIAMENTO E CONTROLE DE TRANSITO S/A;177
01471017000190;Construção de edifícios;RCN E GODOI CONSTRUTORA LIMITADA;178
01483360000154;Serviços de engenharia;SETEC HIDROBRASILEIRA OBRAS E PROJETOS LTDA;179
01483360000588;Serviços de engenharia;SETEC HIDROBRASILEIRA OBRAS E PROJETOS LTDA;180
01486659000162;Construção de edifícios;SEC EMPREENDIMENTOS E CONSTRUCOES LTDA;181
01490046000107;Incorporação de empreendimentos imobiliários;YUNY INCORPORADORA S/A;182
01510811000103;Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente;FOFEX INDUSTRIA DE PAPEIS LTDA;183
01532198000117;Comércio varejista especializado de equipamentos e suprimentos de informática;C N SCHNEIKER & CIA LTDA - ME;184
01535369000161;Construção de edifícios;CONATA ENGENHARIA LTDA;185
01543722000155;Construção de rodovias e ferrovias;SVC CONSTRUCOES LTDA;186
01545826000107;Incorporação de empreendimentos imobiliários;GAFISA S/A.;187
01551272000142;Fabricação de sabões e detergentes sintéticos;ASA INDUSTRIA E COMERCIO LTDA;188
01555124000104;Serviços de pré-impressão;GRAFICA IRMAOS MIRANDA DE FRIBURGO LTDA - ME;189
01559046000108;Comércio varejista de materiais de construção não especificados anteriormente;IRMAOS SOARES S/A;190
01564597000160;Frigorífico - abate de bovinos;FRIGOMIL FRIGORIFICO MIL LTDA - EPP;191
01573246000115;Serviços de engenharia;L B R ENGENHARIA E CONSULTORIA LTDA;192
01576194000130;Serviços de acabamentos gráficos, exceto encadernação e plastificação;IMPRESSORA BRASIL LTDA;193
01592897000152;Holdings de instituições não-financeiras;MPV PARTICIPACOES LTDA;194
01597070000131;Obras de terraplenagem;LD CONSTRUCOES LTDA;195
01602163000107;Incorporação de empreendimentos imobiliários;MAXION - EMPREENDIMENTOS IMOBILIARIOS LTDA;196
01612795000151;Fabricação de refrigerantes;BRASAL REFRIGERANTES S/A;197
01616520000196;Administração pública em geral;MUNICIPIO DE AGUAS LINDAS DE GOIAS;198
01618204000153;Construção de edifícios;ENGEPAR - ENGENHARIA E PARTICIPACOES LTDA;199
01619247000153;Impressão de material para outros usos;MERTENS GRAFICA E EDITORA LTDA. - EPP;200
01620498000158;Manutenção de redes de distribuição de energia elétrica;COTESA ENGENHARIA LTDA;201
01620544000119;Outras sociedades de participação, exceto holdings;ICATU ASSESSORIA LTDA;202
01625195000128;Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente;SCS - COMERCIAL E SERVICOS QUIMICOS LTDA;203
01637176000111;Fabricação de tênis de qualquer material;COLISEU INDUSTRIA E COMERCIO EIRELI;204
01637895000132;Fabricação de cimento;VOTORANTIM CIMENTOS S.A.;205
01661770000300;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;AMAZON TRANSPORTES LTDA;206
01672342000110;Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente;VANGUARDA DO BRASIL S.A.;207
01673229000150;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;ALAB & ALAB LTDA - ME;208
01674524000120;Edição de cadastros, listas e outros produtos gráficos;KEOPS INDUSTRIA GRAFICA S.A.;209
01682147000171;Abate de aves;AVENORTE AVICOLA CIANORTE LTDA;210
01685813000125;Loteamento de imóveis próprios;SANTA ALICE LOTEADORA LTDA;211
01701309000171;Construção de edifícios;FUAD RASSI ENGENHARIA INDUSTRIA E COMERCIO LTDA;212
01702775000171;Holdings de instituições não-financeiras;PERALTA INVESTIMENTOS E PARTICIPACOES EMPRESARIAIS LTDA.;213
01703312000124;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;ABC CARGAS LTDA;214
01734214000154;Construção de rodovias e ferrovias;LOCTEC ENGENHARIA LTDA;215
01744153000106;Construção de rodovias e ferrovias;PAVIDEZ ENGENHARIA LTDA;216
01749727000139;Comércio varejista de combustíveis para veículos automotores;COMERCIAL DE COMBUSTIVEIS E DERIVADOS DE PETROLEO FAROL LTDA - EPP;217
01753713000199;Construção de edifícios;DI ROMA EMPREENDIMENTOS IMOBILIARIOS LTDA;218
01756239000159;Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração;COSTA RICA SERVICOS TECNICOS LTDA;219
01764234000178;Limpeza em prédios e em domicílios;MAGI CLEAN ADMINISTRACAO DE SERVICOS LTDA;220
01765213000177;Comércio varejista especializado de equipamentos e suprimentos de informática;COPYSYSTEMS-COPIADORAS SISTEMAS E SERVICOS LTDA;221
01780732000104;Fabricação de malte, inclusive malte uísque;MALTERIA DO VALE LTDA.;222
01808425000194;Holdings de instituições não-financeiras;NIZAPAR - NIZA PARTICIPACOES LTDA;223
01814174000150;Construção de rodovias e ferrovias;META SERVICOS E PROJETOS LTDA;224
01826229000142;Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários;COTIA VITORIA SERVICOS E COMERCIO S/A;225
01828546000106;Impressão de livros, revistas e outras publicações periódicas;GRAFICA JAFAR LTDA - EPP;226
01832326000148;Coleta de resíduos não-perigosos;VEGA ENGENHARIA AMBIENTAL S/A;227
01838723000127;Abate de aves;BRF S.A.;228
01838723030468;Serviços combinados de escritório e apoio administrativo;BRF S.A.;229
01838723042202;Fabricação de alimentos para animais;BRF S.A.;230
01851173000186;Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;DINAMICA S/S LTDA - EPP;231
01852371000164;Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente;SAMPLAST BARRA COMERCIO DE EMBALAGENS LTDA - ME;232
01857217000185;Comércio varejista de outros produtos não especificados anteriormente;RETIFICA INJETEC LTDA - EPP;233
01864695000112;"Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças ";ALVICTO OZORES NOGUEIRA LOGISTICA LTDA - ME;234
01868396000156;Construção de rodovias e ferrovias;NOVA SANTA LUZIA ENGENHARIA LTDA;235
01877186000124;Comércio varejista de laticínios e frios;MINAS QUEIJOS E MASSAS LTDA - EPP;236
01900191000100;Construção de edifícios;CONX EMPREENDIMENTOS IMOBILIARIOS LTDA;237
01913995000144;Construção de edifícios;EMPRESA ALVORADA DE HOTEIS S A;238
01920430000194;Comércio atacadista de medicamentos e drogas de uso humano;DENTAL RIO BRANCO LTDA;239
01926741000160;Recuperação de sucatas de alumínio;RECICLAR RECICLAGEM DE MATERIAIS LTDA;240
01928075000108;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;DMA DISTRIBUIDORA S/A;241
01929665000147;Comércio a varejo de automóveis, camionetas e utilitários novos;RECREIO B. H. VEICULOS S.A.;242
01944031000163;Captação, tratamento e distribuição de água;DISTRIBUIDORA DE AGUA CAMACARI S/A;243
01958324000108;Construção de edifícios;PONTO FORTE CONSTRUCOES E EMPREENDIMENTOS LTDA.;244
01963163000132;Serviços de engenharia;CGM CONSULTORES E CIA LTDA - ME;245
01976860000128;Comércio a varejo de pneumáticos e câmaras-de-ar;PNEUS VIA NOBRE LTDA;246
01983056000176;Comércio varejista de artigos de papelaria;ALVORI CORREA DE LIMA - ME;247
01992029000160;Construção de rodovias e ferrovias;R.C. VIEIRA ENGENHARIA LTDA;248
02035162000190;Edição integrada à impressão de cadastros, listas e outros produtos gráficos;P L MARTINI - ME;249
02037845000187;Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente;L & V SOLUCOES LTDA - ME;250
02038232000164;Bancos cooperativos;BANCO COOPERATIVO DO BRASIL S/A;251
02038394000100;Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários;BF PROMOTORA DE VENDAS LTDA.;252
02038394000283;Atividades de cobrança e informações cadastrais;BF PROMOTORA DE VENDAS LTDA.;253
02043917000107;Fabricação de álcool;USINA RIO VERDE LTDA;254
02053186000172;Holdings de instituições não-financeiras;SAGA INVESTIMENTO E PARTICIPACOES DO BRASIL S/A;255
02058874000125;Confecção, sob medida, de roupas profissionais;DAL COMUNICACAO VISUAL LTDA - EPP;256
02077639000109;Outras obras de engenharia civil não especificadas anteriormente;DOBIL ENGENHARIA LTDA;257
02082382000175;Gestão e administração da propriedade imobiliária;PANGEA EMPREENDIMENTOS S/A;258
